,brand,model_year,accident,price_usd,mileage_num,has_clean_title,is_sport,is_premium,is_4WD_AWD,engine_hp,engine_displacement,fuel_type_E85 Flex Fuel,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_Plug-In Hybrid,transmission_type_CVT,transmission_type_Manual,transmission_type_a/t,int_col_Black,int_col_Blue,int_col_Brown,int_col_Gray,int_col_Orange,int_col_Red,int_col_White,int_col_nan,ext_col_Black,ext_col_Blue,ext_col_Brown,ext_col_Gray,ext_col_Orange,ext_col_Red,ext_col_White,ext_col_nan
2474,0.03361815563997084,0.060000000000000005,0.0,0.4967577086915773,0.017658681155840947,1.0,0.0,0.0,0.0,0.631578947368421,0.7088607594936709,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1339,0.11703993917351152,0.1,0.0,0.42607408409519376,0.10347493208199555,1.0,0.0,0.0,0.0,0.30047846889952157,0.31645569620253167,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1614,0.17597424002176876,0.07999999999999999,0.0,0.46483564017142953,0.1701654729562855,1.0,0.0,0.0,0.0,0.631578947368421,0.7088607594936709,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1611,0.05480274431369292,0.13999999999999999,0.0,0.43593960829849365,0.040997777228945424,1.0,0.0,0.0,0.0,0.11674641148325357,0.25316455696202533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2601,0.5826732245782997,0.16,0.0,0.5201083963393496,0.2346628797233885,1.0,0.0,0.0,0.0,0.6220095693779905,0.8481012658227849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3945,0.08382693385064144,0.16,0.0,0.3124957629087106,0.23455174117065944,1.0,0.0,0.0,0.0,0.2124401913875598,0.20253164556962028,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
423,0.4417107659237969,0.13999999999999999,0.0,0.4451997894462336,0.12262286984440603,1.0,0.0,0.0,0.0,0.6392344497607655,0.379746835443038,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3737,0.3103723043425406,0.019999999999999997,0.0,0.599839021408523,0.013336626327488268,1.0,0.0,0.0,0.0,0.631578947368421,0.44303797468354433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1097,0.3619614887851501,0.18,1.0,0.26285102259704596,0.18818473697209187,1.0,0.0,0.0,0.0,0.21435406698564594,0.3037974683544304,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
506,0.5794244594310589,0.060000000000000005,0.0,0.6374912503490799,0.044193628056310205,1.0,0.0,0.0,0.0,0.5454545454545454,0.379746835443038,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2911,0.3383261833928337,0.060000000000000005,0.0,0.5405930557933998,0.09069152877253643,0.0,0.0,0.0,0.0,0.4688995215311005,0.44303797468354433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3572,0.16828442077343464,0.24000000000000002,0.0,0.4754904942977074,0.08298345270437145,1.0,0.0,0.0,0.0,0.5263157894736842,0.5949367088607596,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.573977976752194,0.04,0.0,0.528991473605303,0.03829834527043715,0.0,0.0,0.0,0.0,0.6220095693779905,0.7215189873417722,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
